status,lane,company,website,city,country,sector,trigger_observation,proof_to_use,source,contact_name,contact_role,contact_url,email,first_contact_sent,follow_up_1_sent,follow_up_2_sent,linkedin_touch,mini_observation_created,next_action,notes,evidence_urls,checked_at,canonical_domain
research,Lane D Nigeria growth businesses,PERCOSO Nigeria,https://percosonigeria.com/,Lagos,Nigeria,Integrated facility management and MEPC,"Owned site positions PERCOSO as an indigenous integrated FM/MEPC company with major client proof, quote route, named phone routes, and a footer registration placeholder.",BridgeWorks credibility-proof and content-QA review.,Current owned website discovered via public web search on 2026-07-28; exact domain/email HubSpot and Gmail duplicate checks returned no matches.,,,,info@percosonigeria.com,,,,,,Research leadership/contact route and verify whether the registration placeholder or duplicated testimonial block creates a current credibility gap.,"Public source lists 14 Michael Adekoya Street, Victoria Island, Lagos, phone routes labelled Femi and Tope, and info@percosonigeria.com.",https://percosonigeria.com/,2026-07-28,percosonigeria.com
research,Lane D Nigeria growth businesses,Altilis Limited,https://www.altilisfm.com/,Lagos,Nigeria,MEP and facility management,"Owned site positions Altilis as a Lagos MEP and facility-management provider with quote CTA, service categories, phone routes, and business-development email.",BridgeWorks technical-services enquiry-route and proof clarity review only if a specific gap is established.,Current owned website discovered via public web search on 2026-07-28; exact domain/email HubSpot and Gmail duplicate checks returned no matches.,,,,bd@altilisfm.com,,,,,,"Research contact route, leadership evidence, FAQ/quote path, and whether the buyer-facing proof is specific enough for outreach.","Public source lists 28 Samuel Awoniyi Street, Opebi, Ikeja, Lagos, +234 807 323 0998, +234 708 141 1240, and bd@altilisfm.com.",https://www.altilisfm.com/,2026-07-28,altilisfm.com
research,Lane D Nigeria growth businesses,UrbanCore Facility Management,https://www.urbancorefm.com/,Lagos,Nigeria,Facility management,"Owned page presents Nigeria facility-management services, WhatsApp/call routes, and multiple trust cards whose visible supporting copy appears repeated across distinct claims.",BridgeWorks proof-specificity and credibility QA review.,Current owned website discovered via public web search on 2026-07-28; exact domain/email HubSpot and Gmail duplicate checks returned no matches.,,,,contact.urbancore@gmail.com,,,,,,"Verify the repeated-copy observation on the live page, contact route, and responsible destination before considering approval copy.","Public source lists Lekki Phase 1, Lagos, +234 909 109 0065, contact.urbancore@gmail.com, call and WhatsApp routes.",https://www.urbancorefm.com/,2026-07-28,urbancorefm.com
research,Lane B African-owned businesses in Europe,TriAxis Consulting Firm,https://triaxisconsultingfirm.com/,Paris,France,Europe-Africa strategic advisory,"Owned site identifies TriAxis as a Franco-Nigerian consultancy in Paris, names founder/CEO Bakare Ahmed Kuti, and displays broad quantified proof plus live market/news modules.",BridgeWorks credibility-proof and advisory buyer-route review only if a specific sourced gap is verified.,Current owned website discovered via public web search on 2026-07-28; exact domain/email HubSpot and Gmail duplicate checks returned no matches.,Bakare Ahmed Kuti,Founder and CEO,https://triaxisconsultingfirm.com/,info@triaxisconsultingfirm.com,,,,,,"Research proof specificity, consultation route, and whether broad metrics or live-market modules create a concrete credibility gap for advisory buyers.","Public source lists 25 Rue De Ponthieu, 75008 Paris, +33 1 84 16 03 55, info@triaxisconsultingfirm.com, and Monday-Friday hours.",https://triaxisconsultingfirm.com/,2026-07-28,triaxisconsultingfirm.com
research,Lane D Nigeria growth businesses,Starmate Nigeria Ltd,https://www.starmatenigeria.com/,Lagos / Abuja,Nigeria,"Facility management, cleaning, fumigation, and property services","Owned page presents facility management, cleaning, pest control, real estate support, quote CTA, public phone routes, public emails, quantified counters, partner logos, and testimonial content; research should verify whether repeated/generic service proof or visible copy issues create a concrete commercial gap.",BridgeWorks B2B credibility-proof and enquiry-route review only if a specific current gap is established.,Current owned website discovered via public web search on 2026-07-30; exact domain/email HubSpot company/contact checks and Gmail history checks returned no matches.,,,https://www.starmatenigeria.com/,contact@starmatenigeria.com,,,,,,"Research owned quote route, proof specificity, company identity, contact destination, and duplicate-contact risk; hold if no concrete commercial gap is verified.","Public source lists +234 811 0000 329, contact@starmatenigeria.com, starmatenigeria@gmail.com, Abuja address, Lagos/Nigeria services, quote CTA, and 2026 copyright.",https://www.starmatenigeria.com/,2026-07-30,starmatenigeria.com
research,Lane D Nigeria growth businesses,Sterling Nigeria Facility Services,https://sterlingnigeria.org/,Lagos,Nigeria,"Cleaning manpower, janitorial services, pest control, and cleaning products","Owned site presents a focused quote route, team names, CAC/insurance trust claims, product catalogue CTA, public WhatsApp/phone, and public email; research should verify whether product/service CTAs and proof hierarchy create a buyer-route gap.",BridgeWorks service-route and proof-hierarchy review only if a current gap is verified.,Current owned website discovered via public web search on 2026-07-30; exact domain/email HubSpot company/contact checks and Gmail history checks returned no matches.,Victoria Idris,Managing Partner,https://sterlingnigeria.org/,info@sterlingnigeria.org,,,,,,"Research team evidence, quote route, product catalogue path, proof specificity, and duplicate-contact risk; draft only if one exact sourced gap and exact destination are verified.","Public source lists Victoria Idris as Managing Partner, Jessica Atini as Business Operations, +234 903 337 6637, info@sterlingnigeria.org, and a proposal form.",https://sterlingnigeria.org/,2026-07-30,sterlingnigeria.org
research,Lane D Nigeria growth businesses,EREFA Ltd,https://erefafm.com/,Lagos,Nigeria,"Facility management, manpower, logistics support, cleaning, security, and HSE","Owned page presents EREFA as a Nigerian facilities-management and manpower/logistics support company with public address, email, phone routes, and repeated hero/service copy blocks; research should verify whether repetition or trust-route clarity creates a concrete commercial gap.",BridgeWorks credibility-proof and copy-route QA review only if a specific gap is established.,Current owned website discovered via public web search on 2026-07-30; exact domain/email HubSpot company/contact checks and Gmail history checks returned no matches.,,,https://erefafm.com/,enquiry@erefafm.com,,,,,,"Research owned pages, CEO/about route, contact route, proof specificity, and duplicate-contact risk; hold if no responsible destination and current gap are verified.","Public source lists KL 29 Lekki Town, Folu Eleko coastal road, AP Station, Lagos; enquiry@erefafm.com; +2347033402698; and additional phone routes.",https://erefafm.com/,2026-07-30,erefafm.com
research,Lane D Nigeria growth businesses,ServicePilot Nigeria,https://www.servicepilot.ng/,Lagos,Nigeria,"Facility management, cleaning, laundry, repairs, moving, and home services","Owned page presents broad Nigerian service categories, quantified proof claims, booking/contact routes, testimonials, and two public email routes; research should verify whether duplicated testimonials or email-route mismatch create a concrete trust or conversion gap.",BridgeWorks proof-hierarchy and route-clarity review only if a current gap is verified.,Current owned website discovered via public web search on 2026-07-30; exact domain/email HubSpot company/contact checks and Gmail history checks returned no matches.,,,https://www.servicepilot.ng/,admin@servicepilot.ng,,,,,,"Research duplicate testimonial blocks, public email routing, contact form, responsible recipient, and duplicate-contact risk; do not draft without exact supported destination.","Public source lists +234 802 904 7804, admin@servicepilot.ng in header/contact, info@servicepilot.ng in footer, and Lagos/Abuja/Oyo/Ogun service areas.",https://www.servicepilot.ng/,2026-07-30,servicepilot.ng
research,Lane D Nigeria growth businesses,Westlink Facility Management Limited,https://westlinkfm.com/,Lagos,Nigeria,"Facility management, hard services, soft services, and environmental services","Owned site presents Westlink as a Lagos facility-management company with portfolio proof, board/management routes, public phone routes, public email, and request-quote CTA; research should verify whether proof specificity or leadership-route evidence supports any commercial gap.",BridgeWorks B2B proof-hierarchy and enquiry-route review only if a specific current gap is established.,Current owned website discovered via public web search on 2026-07-30; exact domain/email HubSpot company/contact checks and Gmail history checks returned no matches.,,,https://westlinkfm.com/,info@westlinkfm.com,,,,,,"Research portfolio proof, board/management route, quote destination, named responsible recipient, and duplicate-contact risk; hold if the site is already sufficiently credible.","Public source lists info@westlinkfm.com, 0708 228 0971, 0808 342 5317, Cocoa House/Western House/Heritage Mall portfolio claims, and 2026 copyright.",https://westlinkfm.com/,2026-07-30,westlinkfm.com
research,Lane D Nigeria growth businesses,OMMA Integrated Global Services,https://ommaintegratedservices.com.ng/,Lagos,Nigeria,"Integrated facility management, construction, property management, and travel logistics","Owned site presents OMMA as a Lagos integrated FM company with quote/appointment CTAs, service lines, client-logo proof, Google Reviews mention, public address, phone routes, and operations email; research should verify whether any visible content gap exists near the consultation route.",BridgeWorks conversion-route and credibility-proof QA review only if a current gap is verified.,Current owned website discovered via public web search on 2026-07-30; exact domain/email HubSpot company/contact checks and Gmail history checks returned no matches.,,,https://ommaintegratedservices.com.ng/,operations@ommaintegratedservices.com.ng,,,,,,"Research quote/appointment route, client-proof specificity, contact destination, responsible recipient, and duplicate-contact risk; draft only if a concrete sourced gap exists.","Public source lists 230 Herbert Macaulay Way, Yaba Lagos; +234 909 090 0600; +234 802 222 8967; operations@ommaintegratedservices.com.ng; and 2026 copyright.",https://ommaintegratedservices.com.ng/,2026-07-30,ommaintegratedservices.com.ng
research,Lane D Nigeria growth businesses,607 Cleaning,https://www.607cleaning.com.ng/,Lagos,Nigeria,"Commercial cleaning, facility cleaning, emergency cleaning, and residential cleaning","Owned site presents Lagos/Abeokuta/Ibadan cleaning and facility services with quote/contact routes, public email, phone, team/testimonial sections, zero-value counters, placeholder-looking team names, and repeated unsupported-video text; research should verify which issues are current and commercially relevant.",BridgeWorks credibility-proof and website QA cleanup only if a concrete current gap is verified.,Current owned website discovered via public web search on 2026-07-30; exact domain/email HubSpot company/contact checks and Gmail history checks returned no matches.,,,https://www.607cleaning.com.ng/,info@607cleaning.com.ng,,,,,,"Research quote route, team/testimonial proof, zero counters, media fallbacks, exact responsible destination, and duplicate-contact risk; hold if identity or gap evidence is weak.","Public source lists info@607cleaning.com.ng, +234 707 165 7516, Lagos/Abeokuta/Ibadan service areas, and 2025 copyright.",https://www.607cleaning.com.ng/,2026-07-30,607cleaning.com.ng
research,Lane D Nigeria growth businesses,Lagos Logistics,https://lagoslogistics.com.ng/about/,Lagos,Nigeria,"Courier, relocation, distribution, and logistics services","Owned about page presents Lagos and nationwide/international logistics routes, booking CTA, public email, phone, and address, but also shows zero-value proof counters and repeated 2023 copyright; research should verify whether this creates a current credibility gap before outreach preparation.",BridgeWorks credibility-proof and booking-route review only if a specific current gap is established.,Current owned website discovered via public web search on 2026-07-30; exact domain/email HubSpot company/contact checks and Gmail history checks returned no matches.,,,https://lagoslogistics.com.ng/about/,order@lagoslogistics.com.ng,,,,,,"Research booking route, pricing route, zero counters, destination email, responsible contact, and duplicate-contact risk; hold if no current sourced commercial gap is verified.","Public source lists order@lagoslogistics.com.ng, 0813 763 2121, Lekki address, Book Now/make order routes, nationwide/international delivery claims, and 2023 copyright.",https://lagoslogistics.com.ng/about/,2026-07-30,lagoslogistics.com.ng
research,Lane D Nigeria growth businesses,SeamlessHR / Seamless Technologies,https://seamlesshr.com/,Lagos,Nigeria,"Enterprise HR software, embedded finance, procurement, and AI workforce products","Official July 2026 announcement says SeamlessHR evolved into Seamless Technologies, expanded into AI and financial services, operates SeamlessHR, Breeze, SeamlessProcure, BWOP, and Samira, and has Lagos/Nairobi/Accra routes; research should test whether a single AI-workflow, revenue-system, or platform-transition question is specific enough for qualification.",BridgeWorks AI workflow or execution operating-system scan only if one current expansion consequence and responsible buyer route are verified.,"2026-08-02 framework refill; public rebrand and product-expansion evidence; HubSpot exact-domain checks, Gmail Sent checks, local source, prior result, and packet checks returned no exact matches.",,,https://seamlesshr.com/press-media/,marketing@seamlesshr.com,,,,,,"Qualify the rebrand/product-expansion moment against the 2026-08-01 framework; do not draft unless a current buyer moment, one service route, exact destination, and earned proof asset are verified.","Current public route includes marketing@seamlesshr.com and Lagos office address on official pages. Treat the rebrand as change evidence, not automatic buying intent.",https://seamlesshr.com/blog/african-saas-leader-becomes-seamless-technologies-unveils-ai-and-financial-solutions/ | https://seamlesshr.com/about/ | https://seamlesshr.com/press-media/,2026-08-02,seamlesshr.com
research,Lane D Nigeria growth businesses,Bumpa,https://www.getbumpa.com/,Lagos,Nigeria,E-commerce operating platform and merchant growth tools for Nigerian SMEs,"Bumpa Capital launched in 2026 with Vendorcredit, tying loan eligibility to merchants' Bumpa usage, transaction consistency, KYC documents, and business growth actions; research should test whether the merchant onboarding and evidence journey creates a specific conversion or operating-system opportunity.",BridgeWorks conversion path or revenue-system map only if the qualification pass verifies a current buyer owner and a concrete merchant-journey consequence.,"2026-08-02 framework refill; current Bumpa Capital launch evidence; HubSpot exact-domain checks, Gmail Sent checks, local source, prior result, and packet checks returned no exact matches.",,,https://support.getbumpa.com/support/solutions/articles/150000226091-bumpa-capital,,,,,,,"Research Bumpa's public Bumpa Capital route, merchant qualification journey, support/contact destination, and duplicate-contact risk; hold if no exact responsible destination or service route is verified.",Do not use the broad Nigerian SME credit gap as a claim about Bumpa's internal need; use only sourced public launch and route evidence.,https://support.getbumpa.com/support/solutions/articles/150000226091-bumpa-capital | https://vendorcredit.ng/bumpa-and-vendorcredit-partner-to-launch-bumpa-capital/ | https://techcabal.com/2026/05/08/bumpa-and-vendorcredit-partner-to-launch-bumpa-capital/,2026-08-02,getbumpa.com
research,Lane D Nigeria growth businesses,Vendorcredit,https://vendorcredit.ng/,Lagos,Nigeria,Supply chain finance and MSME credit technology,"Vendorcredit's May 2026 announcement says the company powers Bumpa Capital, supports 9,000+ micro and small businesses and 200+ corporates, has processed over N75 billion, and provides credit from onboarding to collections; research should test whether partner onboarding/reporting or proof hierarchy supports one revenue-system diagnostic.",BridgeWorks execution operating-system or revenue-system scan only if a precise partner-credit journey issue is publicly evidenced.,"2026-08-02 framework refill; Bumpa Capital partnership and official Vendorcredit scale claims; HubSpot exact-domain checks, Gmail Sent checks, local source, prior result, and packet checks returned no exact matches.",Oluwaseye Akinyemi,Media contact,https://vendorcredit.ng/bumpa-and-vendorcredit-partner-to-launch-bumpa-capital/,,,,,,,"Research Vendorcredit public routes, partnership proof, compliance/trust claims, buyer route, and duplicate-contact risk; do not draft from general fintech growth alone.",Public press page lists media contacts but rendered emails are protected in the indexed text; exact outreach destination must be verified before readiness.,https://vendorcredit.ng/bumpa-and-vendorcredit-partner-to-launch-bumpa-capital/,2026-08-02,vendorcredit.ng
research,Lane D Nigeria growth businesses,Sabou Capital Partners,https://saboucapital.com/,Abuja / Lagos,Nigeria,Impact fund and technical-assistance platform for tech-enabled SMEs,"Sabou secured a Mastercard Foundation Africa Growth Fund anchor investment in 2026, targets final close by Q3 2027, pairs capital with pre- and post-investment technical assistance, and posted 2026 roles for investment, risk, portfolio monitoring, and legal/compliance; research should test whether portfolio-support operations create one qualified operating-system route.",BridgeWorks execution operating-system map only if public evidence supports a current portfolio-support or fund-operations question.,"2026-08-02 framework refill; 2026 anchor investment and active hiring evidence; HubSpot exact-domain checks, Gmail Sent checks, local source, prior result, and packet checks returned no exact matches.",,,https://saboucapital.com/,,,,,,,"Research fund support model, hiring signals, contact route, buyer path, and duplicate-contact risk; hold if the opportunity is too investor-facing or lacks a responsible destination.","Treat final-close and hiring as change signals requiring qualification, not as permission for free advisory work.",https://techcabal.com/2026/05/04/sabou-capital-secures-mastercard-foundation-africa-growth-fund-investment-to-back-smes/ | https://saboucapital.com/ | https://saboucapital.com/apply-to-join-sabou-capital/,2026-08-02,saboucapital.com
research,Lane B African-owned businesses in Europe,Moneco,https://moneco.app/,Paris,France,Financial app for African diaspora and African residents,"Public profiles identify Moneco as a Paris-based neobank for African migrants and the African diaspora, with African founders, international accounts, USDC wallet, SEPA/ACH rail expansion, and WhatsApp support route; research should test whether a single AI-visibility, onboarding, or trust-route issue is evidenced by public pages.",BridgeWorks conversion path or content-visibility-demand scan only if a precise diaspora-fintech buyer moment and destination are verified.,"2026-08-02 framework refill; African-diaspora founder/team evidence and 2026 product-expansion evidence; HubSpot exact-domain checks, Gmail Sent checks, local source, prior result, and packet checks returned no exact matches.",,,https://moneco.app/en/legal/privacy/,,,,,,,"Research current Moneco pages, product expansion, founder/buyer route, support/contact channel, and duplicate-contact risk; do not draft without a verified business-contact destination.",Moneco has similarly named unrelated companies; preserve moneco.app as the canonical domain.,https://www.ycombinator.com/companies/moneco | https://www.moneco.app/en/account/ | https://liners.com/news/moneco-wefunder-crowdfunding-stablecoin-wallets-sepa-ach | https://moneco.app/en/legal/privacy/,2026-08-02,moneco.app
research,Lane B African-owned businesses in Europe,Tilz Prosperitas,https://tilzcollection.co.uk/,Leeds,United Kingdom,"African-owned e-commerce, gifting, wholesale, and international trade","UK Export Finance says Tilz Prosperitas secured up to GBP200,000 in trade finance, is ready to deliver to Europe, take on new US/Canada clients, and diversify beyond seasonal products; public profile presents a Leeds-based African-founder e-commerce and B2B company with multiple private-label brands; research should test whether global trade expansion supports one operating or demand-capture diagnostic.",BridgeWorks execution operating-system or content-visibility-demand map only if expansion-route evidence and a lawful buyer destination are verified.,"2026-08-02 framework refill; UK Export Finance expansion evidence and public company/founder routes; HubSpot exact-domain checks, Gmail Sent checks, local source, prior result, and packet checks returned no exact matches.",Tayo Adebisi,Founder and CEO,https://uk.linkedin.com/company/tilz,,,,,,,"Research official contact/wholesale routes, expansion proof, founder route, prior contact risk, and one primary service route; hold if only a generic export-success story is available.","Public LinkedIn route is read-only evidence; do not connect, message, react, or enrich.",https://www.ukexportfinance.gov.uk/success-stories/tilzprosperitas/ | https://tilzcollection.co.uk/about/ | https://uk.linkedin.com/company/tilz,2026-08-02,tilzcollection.co.uk
research,Lane B African-owned businesses in Europe,British African Business Alliance,https://britishafrican.org/,London,United Kingdom,"African business network, investment pipeline, and diaspora entrepreneurship platform","BABA Connect presents a 2026 platform with member dashboards, project pipeline, regional networks, business opportunities, membership tiers, and info@britishafrican.org; research should test whether platform clarity, member conversion, or project intake creates one current digital-platform or operating-system diagnostic.",BridgeWorks digital-platform or execution operating-system scan only if a precise member/onboarding route consequence is evidenced.,"2026-08-02 framework refill; 2026 BABA Connect platform/pipeline evidence; HubSpot exact-domain checks, Gmail Sent checks, local source, prior result, and packet checks returned no exact matches.",,,https://britishafrican.org/about,info@britishafrican.org,,,,,,"Research BABA Connect, official BritishAfrican routes, membership conversion path, responsible buyer path, and duplicate-contact risk; do not draft from mission fit alone.","BABA is a network/platform prospect, not a generic community contact; qualification must identify the commercial owner and a concrete service route.",https://babaconnect.org/ | https://britishafrican.org/about | https://britishafrican.org/membership/ols/products/medium-business-member,2026-08-02,britishafrican.org
research,Lane A Budapest credibility-first SMEs,Forestay Group,https://eng.forestay.hu/,Budapest,Hungary,"Real estate investment, development, hotel management, and student housing","Forestay says it has delivered 200+ projects, has a 110-person team, operates student housing and hotel rooms, is developing Marriott Moxy and Residence Inn projects, and aims to become a leading Hungarian residential and hospitality development group by 2030; research should test whether the public portfolio and upcoming hotel-development moment supports a single credibility, visibility, or execution-system question.",BridgeWorks credibility-first platform review or execution operating-system map only if a current development/portfolio route issue and exact destination are verified.,"2026-08-02 framework refill; Budapest development and management evidence; HubSpot exact-domain checks, Gmail Sent checks, local source, prior result, and packet checks returned no exact matches.",Balint Botos,"Managing Partner, Forestay Group; CEO, Forestay Fund Management",https://eng.forestay.hu/page/management,,,,,,,"Research Forestay public portfolio, management route, development timing, public contact destination, and duplicate-contact risk; hold if the website is already commercially clear or no destination is verified.",Budapest route is based on company location and current local development evidence; do not infer internal project-management gaps from scale alone.,https://eng.forestay.hu/ | https://eng.forestay.hu/page/management | https://bbj.hu/budapest/travel/hotels/forestay-group-signs-deal-with-marriott-intl-to-open-dual-brand-hotel-development/,2026-08-02,eng.forestay.hu
research,Lane B African-owned businesses in Europe,BV Integrated Ltd,https://bvintegrated.co.uk/about-us/,London,United Kingdom,"UK-Nigeria commodity sourcing, procurement, logistics, and international trade","Owned about page presents UK registration, Nigeria operational roots, named co-founders/team, quote CTA, public phone route, and two visible email routes; research should verify whether route ambiguity or proof hierarchy creates a concrete commercial gap for international-buyer trust.",BridgeWorks B2B credibility-proof and enquiry-route review only if a specific current gap is verified.,Current owned website discovered via public web search on 2026-08-04; exact domain/email HubSpot company/contact checks and Gmail history checks returned no matches.,,,https://bvintegrated.co.uk/about-us/,enquiries@bvintegrated.co.uk,,,,,,"Research owned contact/quote route, evidence for buyer trust, email routing, team proof, and duplicate-contact risk; hold if no exact sourced commercial gap exists.","Public source lists +44 7428 708320, info@bvintegrated.co.uk, enquiries@bvintegrated.co.uk, 20 Wenlock Road London, and co-founders Azeez Iyanda and Saheed Salami.",https://bvintegrated.co.uk/about-us/,2026-08-04,bvintegrated.co.uk
research,Lane B African-owned businesses in Europe,GBS Africa,https://www.gbsafrica.co.uk/about/,London,United Kingdom,"Africa-led political risk, investment, trade, ESG, and market-entry advisory","Owned about page describes GBS Africa as an African-led advisory firm, lists London and Nairobi offices, named team/advisory board routes, and a public email; research should verify whether proof assets and conversion paths are clear enough for high-trust advisory buyers.",BridgeWorks authority-proof and advisory enquiry-route review only if a specific current gap is verified.,Current owned website discovered via public web search on 2026-08-04; exact domain/email HubSpot company/contact checks and Gmail history checks returned no matches.,,,https://www.gbsafrica.co.uk/about/,info@gbsafrica.co.uk,,,,,,"Research owned contact route, public proof assets, current advisory positioning, exact destination, and duplicate-contact risk; hold unless one concrete evidence-backed gap is found.","Public source lists info@gbsafrica.co.uk, London HQ at 86-90 Paul Street, Nairobi office, and 2011-2026 copyright.",https://www.gbsafrica.co.uk/about/,2026-08-04,gbsafrica.co.uk
research,Lane B African-owned businesses in Europe,DARAJA Africa-EU,https://daraja-africa.eu/home/about-us/,Gunzburg,Germany,"Africa-Europe business, culture, events, and cross-border consulting","Owned about page presents a Germany/Kenya co-founder model, Request Quote CTA, Europe/Africa phone routes, and visible footer/contact inconsistencies including spaced email text and mixed-case contact heading; research should verify whether these create a concrete enquiry trust gap.",BridgeWorks credibility-proof and contact-route clarity review only if a specific current gap is verified.,Current owned website discovered via public web search on 2026-08-04; exact domain/email HubSpot company/contact checks and Gmail history checks returned no matches.,Roisa Kerry,"Co-founder, Kenya",https://daraja-africa.eu/home/about-us/,mail@daraja-africa.eu,,,,,,"Research quote/contact destination, footer email rendering, co-founder evidence, service route, and duplicate-contact risk; draft only if route and commercial gap are exact.","Public source lists Hans Posthumus as Germany co-founder, Roisa Kerry as Kenya co-founder, Germany contact address, Kenya contact route, and mail @ daraja-africa.eu.",https://daraja-africa.eu/home/about-us/,2026-08-04,daraja-africa.eu
research,Lane D Nigeria growth businesses,Rideflow,https://www.rideflow.org/,Lagos,Nigeria,"Logistics operations platform, fleet, dispatch, HR, compliance, and analytics","Owned pages present live logistics SaaS positioning, demo CTA, named team, RC number, and public email, but public crawls show repeated duplicated headings/copy and a live counters section returning zero values despite separate about-page numeric proof; research should verify the exact current gap.",BridgeWorks conversion-route and proof-consistency QA review only if the duplicated/zero-value evidence is current.,Current owned website discovered via public web search on 2026-08-04; exact domain/email HubSpot company/contact checks and Gmail history checks returned no matches.,,,https://www.rideflow.org/,info@rideflow.org,,,,,,"Research homepage/about page copy duplication, proof counters, demo route, exact destination, and duplicate-contact risk; draft only if a current commercial gap is confirmed.","Public source lists info@rideflow.org, RC 8742605, Book a Demo CTA, named operators, and current logistics platform positioning.",https://www.rideflow.org/ | https://www.rideflow.org/about,2026-08-04,rideflow.org
research,Lane D Nigeria growth businesses,Apex Outsourcing and Logistics Company Ltd,https://www.apexlo.com.ng/,Lagos,Nigeria,"HR outsourcing, logistics, sourcing, and management consultancy","Owned site presents Lagos/Abuja offices, public email and phone, HR outsourcing, logistics, sourcing, and consultancy services, but also exposes outdated brochure/navigation paths and 2020 copyright; research should verify whether this creates a current credibility gap.",BridgeWorks B2B credibility-refresh and service-route review only if a current gap is verified.,Current owned website discovered via public web search on 2026-08-04; exact domain/email HubSpot company/contact checks and Gmail history checks returned no matches.,,,https://www.apexlo.com.ng/,info@apexlo.com.ng,,,,,,"Research contact route, brochure/currentness signals, service proof, exact destination, and duplicate-contact risk; hold if the gap is only cosmetic or unsupported.","Public source lists info@apexlo.com.ng, +234 805 300 9236, Lagos Island and Lekki addresses, Lagos/Abuja offices, and 2020 copyright.",https://www.apexlo.com.ng/,2026-08-04,apexlo.com.ng
research,Lane A Budapest credibility-first SMEs,Kunbase Kft,https://www.kunbase.com/,Budapest,Hungary,Domestic and international freight organisation and logistics,"Owned homepage presents a Budapest logistics offer, Request a Quote CTA, public phone, public email, and office address, while the visible contact section appears to expose a newsletter subscription field as the main email route; research should verify the current enquiry-route gap.",BridgeWorks quote-route and trust-friction review only if a specific current gap is verified.,Current owned website discovered via public web search on 2026-08-04; exact domain/email HubSpot company/contact checks and Gmail history checks returned no matches.,,,https://www.kunbase.com/,info@kunbase.com,,,,,,"Research quote form, contact routing, service proof, exact destination, and duplicate-contact risk; draft only if the public enquiry path is verifiably confusing.","Public source lists +36 70 366 3209, Info@Kunbase.com, Podmaniczky utca 57 Budapest, and logistics service positioning.",https://www.kunbase.com/,2026-08-04,kunbase.com
research,Lane A Budapest credibility-first SMEs,BEPELOG Kft,https://logistics.bepelog.hu/en/contact_en/,Godollo,Hungary,"Direct freight, road freight, tail-lift transport, and waste-paper transport","Owned contact page presents direct freight services, public email, phone, Gödöllő site address, and quote/contact routes, but visible crawled text repeats contact sections and includes malformed CTA copy; research should verify whether this creates a current buyer-route credibility gap.",BridgeWorks logistics enquiry-route and page QA review only if a concrete current gap is verified.,Current owned website discovered via public web search on 2026-08-04; exact domain/email HubSpot company/contact checks and Gmail history checks returned no matches.,,,https://logistics.bepelog.hu/en/contact_en/,info@bepelog.hu,,,,,,"Research contact page, service pages, quote route, exact destination, and duplicate-contact risk; draft only if the malformed/repeated contact route is current and commercially relevant.","Public source lists info@bepelog.hu, +36 21 383 2374, 1 Blathy Otto Street Godollo, and direct freight service positioning.",https://logistics.bepelog.hu/en/contact_en/,2026-08-04,logistics.bepelog.hu
research,Lane A Budapest credibility-first SMEs,Premier FM,https://premierfm.hu/,Budapest,Hungary,"Facility management, building maintenance, industrial cleaning, gardening, and security","Owned homepage presents Budapest facility-management services, quote CTA, public phone and email, and near-20-year experience claim, while the crawled KPI labels appear without visible numeric values; research should verify whether this creates a current credibility-proof gap.",BridgeWorks B2B credibility-proof and quote-route review only if the missing-number proof issue is current.,Current owned website discovered via public web search on 2026-08-04; exact domain/email HubSpot company/contact checks and Gmail history checks returned no matches.,,,https://premierfm.hu/,info@premierfm.hu,,,,,,"Research quote/contact route, KPI proof rendering, service evidence, exact destination, and duplicate-contact risk; hold if no concrete current commercial gap is verified.","Public source lists info@premierfm.hu, +36 21 3332048, facility-management service lines, and quote CTA.",https://premierfm.hu/,2026-08-04,premierfm.hu
research,Lane D Nigeria growth businesses,Provast Limited,https://provastltd.com/,Lagos,Nigeria,"Building maintenance, project management, property management, and integrated facilities solutions","Owned site presents three decades of facilities and building-maintenance experience, public phone/email, and clear Lagos address, while the visible 2026 blog/news area exposes unrelated suspicious software/game-download article titles on the commercial homepage.",BridgeWorks credibility-risk and public-site trust repair review only if current hacked/spam content is verified.,"Current owned website discovered via public web search on 2026-08-10; local source/prior artifact checks, exact HubSpot company/contact checks, and Gmail exact domain/email checks returned no matches.",,,https://provastltd.com/,info@provastltd.com,,,,,,"Research homepage, news/blog route, contact destination, current service proof, and duplicate-contact risk; draft only if the suspicious public content remains current and commercially material.","Public source lists +234 818 070 2290, info@provastltd.com, 9 Macgregor Road Ikoyi Lagos, and facility/building maintenance services.",https://provastltd.com/,2026-08-10,provastltd.com
